,ID,Кличка официальная,Отец id,Мать id
,249,DODWORTH DAMSEL,372,376
,250,GHABAR CRUSADER,296,335
,251,BELLA BIANCA JACKENNA,377,378
,252,CHARLSDON CAPTAIN COOK OF HARDRA,379,380
,253,HARDRA'S HIDDEN TREASURE,381,382
,254,GHABAR DEE JAY,352,335
,255,GEHAM GRAPHITE,277,349
,256,GIPADANDY OF GEHAM,377,383
,257,MERLINDAN SNOW BUNTING,292,384
,258,MAPALEE SCARBOROUGH LILY,259,385
,259,MAPALEE TURBULENT,386,387
,260,MAPALEE CHICORY BUD,388,385
,261,EIRDREDS PRUDIE TRUDIE,361,389
,262,COBRA SHARPSHOOTER OF BROBAR,339,233
,263,MANZANITA MINUET,165,286
,264,DRAHC ST. PATRICK,390,391
,265,VALOSCAT CATECHU,392,393
,266,HOLLOVILLE RED WHIRLYGIG,394,395
,267,CHEEKY TAIL AT TOPKINE,370,396
,268,TURKSHEAD ALL GOLD AT EMRED,397,398
,269,BRINHEAD STAR BOLT OF WIDGERY,399,400
,270,WIDGERY MASQUERADE,142,401
,271,BOCO BE GOOD OF ARICON,331,402
,272,EYELAND HEATHER OF ARICON,303,403
,273,ARICON THE BEST OF FOYRI,277,404
,274,BAR ELITE OF FOYRI,298,405
,275,ARICON IT IS EYE,303,150
,276,BULIVAR AMELIA BEDELIA,199,200
,277,BULIVAR REAL MCCOY,406,407
,278,BULIVAR CARMEN JONES,408,409
,279,TEREGRAMS PRINCE CHARMING,410,411
,280,DREAM MACHINE OF FOYRI,412,413
,281,ELSA PRIDE OF WAARDEN,414,415
,282,TEMPTRESS LOLAR OF GHABAR,165,416
,283,SILVER GEORDIE GIRL OF BULLYVIEW,250,417
,284,GHABAR ROBSON,165,218
,285,MANZANITA MORNING STAR,126,418
,286,AUNTY JACKIE,250,291
,287,TYEMA TRYANGLE,419,420
,288,GABRIELLE OF GWLADYHAF,250,421
,289,FAITHFIELD ROYAL SOVEREIGN,296,422
,290,LANGVILLE FELICITY JANE,423,424
,291,BARQUIN HIGH QUALITY SEED,425,426
,292,MAXIMILLIAN BULLY BOY OF JOBRULU,377,427
,293,KELMASON'S KRYSTABELLE,410,428
,294,DRURIDGE AUGUSTUS OF KEARBY,350,429
,295,KEARBY'S CHRISTMAS CAROL,430,431
,296,CATRANA EYE OPENER OF ARICON,232,432
,297,CILLA KENEE,350,433
,298,FOYRI GANZEE,434,435
,299,IONEM CEREMONIOUS,436,437
,300,BARON BARTELLA,438,439
,301,BARTELLA'S TRANSFORMAMTION,440,441
,302,ARGUSIDE GIGGLING GHOSTE OF CURRANEYE,425,442
,303,ARICON EYE SPY,126,443
,304,CATS EYE'S OF ARICON,181,444
,305,PENBRAY'S PIED PIPER,277,362
,306,BULIVAR TWILIGHT ZONE,277,278
,307,ABRAXAS ARCHON,445,446
,308,JACKNIFE SUPERIOR,447,448
,309,SKEET OF FOYRI,298,449
,310,BELLA DONNA'S ANGEL,450,451
,311,WATSZA MATTA SON OF LAUCHER,292,433
,312,BRIGHT GEM OF BADLESMERE AT BRAVELLO,381,452
,313,NAVARHOAN NOEL,453,454
,314,ELDO PHYLIDDA,455,456
,315,TRYOVANN GERMANICUS,359,360
,316,ANA ROSE OF ESSEX TREGARDENE,457,458
,317,COMMANDO WAR MONGAR,315,316
,318,LIZZIE LIL,317,459
,319,KINBRIG KIELA,460,461
,320,CERIDWEN COURT JEWEL,462,463
,321,MEGAVAR MODERATOR,464,465
,322,MIRROR IMAGE OF CROSSGUNS,271,466
,323,ERROLVIL DANCING DAMSEL,126,467
,324,GAMBLERS WHITE WARRIOR,224,468
,325,SALLY ANN,469,470
,326,WILBARY SHASTA DAISY,239,471
,327,QUEST ERASERHEAD,124,472
,328,QUEST QUIZ QUEEN,473,474
,329,POLYTELIS RED POLLUX,475,476
,330,VINDA VIP ALET,477,478
,331,ARICON ONE AND ONLY,277,404
,332,THINATO LOVE IN A MIST,165,479
,333,PORCELAIN QUEEN OF FINESSE FOYRI,273,480
,334,ARICON HAWK-EYE JACK,296,481
,335,BROBAR SILVER SATIN OF GHABAR,425,482
,336,WILET BOLD VENTURE,379,483
,337,CURRANEYE YOOHOO OF CRAMERSHA,296,484
,338,ROLYANS ANGELICA,485,486
,339,MARTONS MARAUDER,352,487
,340,WYTHAL'S CHURCHILL,488,489
,341,BROBAR HOT POT OF MEREGIS,425,482
,342,TOPKINE TITTLE TATTLE,296,490
,343,WARRIOR OF DEACON,491,492
,344,DEVO DEEVINE,493,494
,345,BULIVAR MAN FRIDAY,232,495
,346,BONY PRINCESS JUDY,493,496
,347,HONEYLYN BARON GROWSER,197,497
,348,BULIVAR TERRIBLE BEAUTY,277,498
,349,SENORITA OF GEHAM,408,499
,350,ARICONS CHIEF EYE SHY,500,443
,351,ARICON'S ANDROMEDA,501,502
,352,BROBAR TROUBLE SHOOTER,503,504
,353,BRONDY'S ANGEL EYES OF ARICON,350,505
,354,STEADFAST THOMAS OF HARDRA,506,507
,355,BLACK BULL BRASIL,508,509
,356,POLYTELIS HOPELESSLY DEVOTED,510,511
,357,BULIVAR FINE AND DANDY,377,495
,358,REGAL KNIP ESON,512,513
,359,COSSACK SABRE OF GREENVALE,514,515
,360,BRIGHT RUBY OF BADLESMERE,381,452
,361,SWAGMAN OF EIRDRED,165,516
,362,BLACK EYED SUSIE AT PENBRAY,296,517
,363,CANDY OF BRAVELLO,311,518
,364,PENNY LANE,296,519
,365,MAPALEE HENLEY,520,521
,366,TURKSHEAD BUBBLES GIFT OF BROBAR,339,522
,367,LOVELY RITA OF BROBAR,339,523
,368,ARONDELLE KELLY'S EYE,379,519
,369,LYDGATE'S BEAUTY QUEEN,524,525
,370,FAILSWORTH'S TRIPLE TROUBLE OF TOPKINE,262,526
,371,TAWNBARR THE REAL THING OF TYEBAR,224,367
,372,ARICON EYE OF THE TIGER FOYRI,527,528
,373,LORNA DOONE OF AGATES,464,529
,374,DUKE JEROME FOYRI,372,530
,375,NAVADA MISS MOLLY,126,531
,376,HILL GIRL,273,532
,377,SOUPERLATIVE JACKADANDY OF ORMANDY,533,534
,378,MOATVALE MORNING GLORY,535,536
,379,SOUPERLATIVE EXPLORER OF ORMANDY,537,538
,380,CHARLSDON BARBETTE,535,539
,381,CONTANGO CLOWN PRINCE OF HARDRA,540,541
,382,HARDRA'S HONEYPIE,535,542
,383,MEREGIS WHITE VELVET,440,543
,384,SEQOUIAH SNOWBIRD OF MERLINDAN,544,545
,385,MAPALEE BUTTERFLY LILY,546,387
,386,GHABAR GREATHEART,250,254
,387,MAPALEE EMBER TREEKLE TABS,377,521
,388,MAPALEE BRILLIANT,292,387
,389,MISS WALLABY OF EIRDRED,377,383
,390,SEGREDA ST.CHRISTOPHER OF DAJAN,379,547
,391,LADY OF DRAHC,298,448
,392,ABRAXAS ARDEN OF BLOSSDUNMERE,548,549
,393,VALOSCAT BELLADONNA,550,551
,394,CASH FOR RAYJACK,294,552
,395,TITIAN GLORY,544,553
,396,AMATOL TICK TACK,142,554
,397,EMRED BLACK GOLD,271,223
,398,GHABAR PEACE,165,218
,399,ROLLER COASTER JED OF GHABAR,165,416
,400,WIDGERY ROWENA,165,555
,401,WIDGERY SILK SQUAW,165,555
,402,BOCO PATSY,556,557
,403,MOSSBELL SAUCEY SUE,558,559
,404,EYE SHADOW OF ARICON,334,560
,405,METCHLEY MADCAP,434,561
,406,BULIVAR BATTLE STAR,350,495
,407,BULIVAR BARDOTT,562,495
,408,KEARBY'S JACKAROO,533,563
,409,BULIVAR GO BANG,377,495
,410,HOLLYFIR'S DEVIL'S GENERAL,564,565
,411,GIRL NAMED SUE OF TEREGRAM,440,566
,412,GOLD MEDAL OF FOYRI,447,567
,413,KAYDAR CALYPSO,300,568
,414,TIPSTAR MUTINEER,292,569
,415,JOHN'S HIGH HOPES,445,570
,416,KENIVE'S PRINCESS,232,571
,417,HUNTBAR SHEILAS PRIDE,572,573
,418,WHITE LIGHTNING OF GEHAM,546,574
,419,BOCO OF DUNKIRK AT ARICON,271,575
,420,TYEMA THE TROUBLE WITH,334,576
,421,LADY ELEANOR,577,578
,422,LASELLE REBECCA OF FAITHFIELD,440,579
,423,LANGVILLE ADJUTANT,410,580
,424,LANGVILLE QUALITY STREET,581,582
,425,MEREGIS JACK KNIFE,377,583
,426,SAMANDORRA OF BARQUIN,300,301
,427,PONTYBULLY SONATA,584,585
,428,KELMASON'S KAYSTAR,586,587
,429,KEARBY'S SALLY SAUCER,440,588
,430,KEARBY'S RED RUM,589,590
,431,KEARBY'S MANEQUIN,591,592
,432,KENSTAFF SHIRLEY,593,594
,433,LONELY LADY OF MAY,572,595
,434,FOYRI VERIFY,596,597
,435,FOYRI POWDER AND PAINT,598,599
,436,BADLESMERE BONAPARTE OF SOUPERLATIVE,600,601
,437,CAMILLA OF IONEM,602,603
,438,BANKTOP JULIUS,604,605
,439,ARCANUM BUSY BEE,602,606
,440,COUSIN CHARLIE OF HOLLYFIR,562,607
,441,COUNTESS BARTELLA,438,439
,442,CURRANEYE GORGEOUS GUSSIE,608,609
,443,ARICON SPANISH EYE'S,610,611
,444,DUBMIRE DUTCHESS,193,297
,445,ABRAXAS COUNT ON ME,535,612
,446,ABRAXAS ANITA,613,614
,447,QUARRY MASTER OF FOYRI,615,561
,448,BRINDLE OF STAFF,616,617
,449,ENSTEAD'S LITTLE CHIBT,618,619
,450,ONMARK'S KING VULTURE,410,620
,451,EMMA DEFENDER,621,622
,452,BOW LASS OF BADLESMERE,623,624
,453,SOUPERLATIVE SPLENDID OF JOBRULU,618,625
,454,NAVARHOAN ALPHECCA,626,627
,455,F1,628,629
,456,F2,630,631
,457,MARRAXE CEASAR BOY,632,633
,458,EASTERN LITTLE TREASURE,408,634
,459,MYSTERY LADY,315,635
,460,MAPALEE CONQUEROR,388,385
,461,KIRKVILLE JEANNIE DEANS,636,637
,462,STAMFORD BLUE OF LENSTER,506,507
,463,AFON COCH,638,639
,464,IFFINEST LOCAL HERO,640,641
,465,MEREGIS BLACK SATIN OF MEGAVAR,440,543
,466,JAYCAR MERE MISCHIEVOUS LADY,165,642
,467,BANEFIRE BUTTERFLY BLUE,303,643
,468,SONSPAR DALELANDS CASSIE,644,645
,469,WARTHORN PATRIOTIC GESTURE,646,647
,470,GAMBLERS SAUCY GIRL,648,649
,471,NAVADA TOP NOTCH OF WILBARY,650,651
,472,QUEST NOTHING BUT MAGIC,652,474
,473,HEJANO GRANDEE CURARE,386,653
,474,GHABAR TREASURE,165,218
,475,UNION JACK VON DER ALTEN VESTE,654,655
,476,BELPHEGORS ECHO OF POLYTELIS,656,657
,477,RICHIE VOM TELGEI,658,659
,478,WEST END ALET,660,661
,479,GHABAR PSALM,334,335
,480,TERRIS GIRL QUEENIE,412,662
,481,LAUCHERS LADY HAMILTON,350,663
,482,BROBAR CLEVER CLOGS,540,664
,483,FLAKY PASTRY,665,449
,484,CURRANEYE NEW LOVE,666,667
,485,CURRANEYE NOWANGUS,666,667
,486,ARCANUM COMEDIENNE OF ROLYANS,615,668
,487,PETE'S PIP OF SONSPAR,669,670
,488,TOBIAS OF REDNAL,671,672
,489,SOBOURN'S STAR BELLE,673,674
,490,TOPKINE VISION CHILD,610,675
,491,LANGVILLE NED KELLY,581,487
,492,SONSPAR SPECIAL,457,487
,493,DEVO DANDY MAN OF JOVERT,425,676
,494,CRISORDONS ALEXIA OF DEVO,677,678
,495,BARDSEY OF BADLESMERE,600,679
,496,BROBAR EYE LITE,352,341
,497,BULIVAR ROSA BELLA OF HONEYLYN,181,498
,498,BULIVAR MARY ROSE,296,680
,499,GEHAM SARDONYX,377,681
,500,BROBAR BACKCHAT,564,482
,501,ARICON PRINCE ALFRED,610,611
,502,BOBARIS BONNY BUTTERCUP,682,683
,503,LORDSFIELD BOMBADIER OF BROBAR,564,684
,504,BROBAR HOTLINE,685,686
,505,BRONDY'S MISTY MORNING,540,687
,506,AGATES OTTOMAN OF WOOLBOROUGH,540,688
,507,HARDRA'S SWEETHEART,618,689
,508,KEARBY'S BUGLER,690,691
,509,GOLDEN MONASEETAH'S ARIELE,692,693
,510,JOBRULU ANTHYLLIS,626,694
,511,LIMELIGHT OF GRAIGVILLE,695,696
,512,REVLON REMUS,438,697
,513,MISS IMP OF KEARBY,698,699
,514,HOLLYFIRS CHOCOLATE SOLDIER,410,700
,515,REDNAL NATASHA,562,701
,516,MONA MERRYMAID,294,702
,517,KEARBYS ANNA LOUISE,425,588
,518,BRAVELLO BIJOU,703,312
,519,DELMOREH'S SINDERS,704,705
,520,KADALA OSCAR WILDE,377,706
,521,IONEM CINDERELLA,707,437
,522,BROBAR SWEET AND LOVELY,352,708
,523,BROBAR HONEYSUCKLE OF BELATOR,352,708
,524,THOR THUNDER BOLT,709,710
,525,ARICON EYE SEE,334,443
,526,TOPKINE LUCKY LADY,711,712
,527,FOYRI PEMBERTON BOY,298,713
,528,EYE POPPER OF ARICON,334,560
,529,KADALA JILL-IN-A-BOX,292,706
,530,HELEN THE WARLADY,273,714
,531,DAVANNA'S BUNTY,715,716
,532,JADE BONNIE BEE,527,717
,533,JOBRULU JACQUEMINOT,436,718
,534,SOUPERLATIVE TROTWOOD,719,720
